"IdPracownika","IdStanowiska","Nazwisko","Imie","NumerTelefonu","Email"
"1","1","Geremek","Andrzej","666777888","geremek.andrzej@wp.pl"
"2","3","Kononowicz","Krzysztof","123456987","konon.owicz@gmail.com"
"3","2","Łoś","Jan","789456123","euborodo@o2.pl"
"5","1","Rosiewicz","Paweł","632193223","pavel.rosiewicz@onet.pl"
"6","1","Kosiewicz","Bogdan","789234211","kosabodzio@wp.pl"
"7","1","Wojdaniak","Przemysław","872892301","p.wojdaniak@gmail.com"
"8","1","Adamiak","Robert","774329001","adamiak.robert@o2.pl"
"9","1","Gąbka","Joanna","632878212","spongeasia@wp.pl"
"10","1","Nowak","Anna","823190783","anianowak@o2.pl"
"11","1","Piotrowicz","Henryk","835552800","heniu.piotrowicz@gmail.com"
"12","1","Banasiak","Bogumił","507307288","ban.bogus@interia.pl"
"13","1","Janiak","Halina","783219322","janiak.halina@gmai.com"
"14","2","Rost","Michał","699126332","michal.rost@interia.pl"
"15","2","Kołodziej","Adrian","673809201","adi.kolodziej@wp.pl"
"16","2","Krach","Wacław","784421801","krach.waclaw@o2.pl"
"17","2","Wilski","Sebastian","683225509","wilski.sebastian@wp.pl"
"18","2","Bogucki","Ryszard","701983265","r.bogucki@gmail.com"
"19","2","Borewicz","Sławomir","500617883","07zglossie@interia.pl"
"20","2","Dreman","Hubert","789375321","h.dreman@wp.pl"
"21","2","Józefiak","Borys","511289303","b.jozefiak@o2.pl"
"22","2","Strzelczyk","Rafał","832000558","rafal.strzelczyk1@gmail.com"
"23","3","Kaźmierczak","Adam","599301321","kazmierczak.adam@onet.pl"
"24","3","Izbicka","Krystyna","601732449","k.izbicka@wp.pl"
"25","3","Pawlicka","Hanna","540032167","pawlickahanna@o2.pl"
"26","3","Grzesiak","Dagmara","754399302","grzesiakdagmara2@gmail.com"
